model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
MiniMaxAI/MiniMax-M2.7,8192,1024,0,15,0.951,15,15,370.502,15.064,15780.592,0,0.0,0.951,0.238,972.397,243.099,66.385,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,62.234,0.015,1.0,14.0,8206.0,8192,14.0,vllm,0.25.1,h200_sxm,0.0,243.099
MiniMaxAI/MiniMax-M2.7,8192,1024,0,14,0.924,14,14,367.404,14.445,15144.355,0,0.0,0.924,0.231,945.699,236.425,69.229,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,61.962,0.014,1.0,13.0,8205.0,8192,13.0,vllm,0.25.1,h200_sxm,0.0,236.425
MiniMaxAI/MiniMax-M2.7,8192,1024,0,13,0.866,13,13,364.077,14.321,15014.079,0,0.0,0.866,0.216,885.769,221.442,69.829,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,61.689,0.013,1.0,12.0,8204.0,8192,12.0,vllm,0.25.1,h200_sxm,0.0,221.442
MiniMaxAI/MiniMax-M2.7,8192,1024,0,12,0.801,12,12,360.484,14.291,14980.036,0,0.0,0.801,0.2,819.491,204.873,69.975,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,61.416,0.012,1.0,11.0,8203.0,8192,11.0,vllm,0.25.1,h200_sxm,0.0,204.873
MiniMaxAI/MiniMax-M2.7,8192,1024,0,20,1.415,20,20,307.569,13.514,14132.299,0,0.0,1.415,0.177,1447.747,180.968,73.998,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,34.255,0.02,1.0,19.0,8211.0,8192,19.0,vllm,0.25.1,h200_sxm,0.0,180.968
MiniMaxAI/MiniMax-M2.7,8192,1024,0,16,1.267,16,16,299.533,12.055,12631.885,0,0.0,1.267,0.158,1295.769,161.971,82.953,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,33.71,0.016,1.0,15.0,8207.0,8192,15.0,vllm,0.25.1,h200_sxm,0.0,161.971
MiniMaxAI/MiniMax-M2.7,8192,1024,0,15,1.265,15,15,297.209,11.301,11858.077,0,0.0,1.265,0.158,1294.055,161.757,88.488,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,33.573,0.015,1.0,14.0,8206.0,8192,14.0,vllm,0.25.1,h200_sxm,0.0,161.757
MiniMaxAI/MiniMax-M2.7,8192,1024,0,14,1.247,14,14,294.725,10.688,11228.077,0,0.0,1.247,0.156,1275.552,159.444,93.567,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,33.437,0.014,1.0,13.0,8205.0,8192,13.0,vllm,0.25.1,h200_sxm,0.0,159.444
MiniMaxAI/MiniMax-M2.7,8192,1024,0,13,1.17,13,13,292.056,10.577,11112.759,0,0.0,1.17,0.146,1196.732,149.592,94.541,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,33.301,0.013,1.0,12.0,8204.0,8192,12.0,vllm,0.25.1,h200_sxm,0.0,149.592
MiniMaxAI/MiniMax-M2.7,8192,1024,0,8,0.8,8,8,274.572,9.506,9999.638,0,0.0,0.8,0.1,818.43,102.304,105.192,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,32.619,0.008,1.0,7.0,8199.0,8192,7.0,vllm,0.25.1,h200_sxm,0.0,102.304
MiniMaxAI/MiniMax-M2.7,8192,1024,0,7,0.749,7,7,269.764,8.873,9346.519,0,0.0,0.749,0.094,766.168,95.771,112.705,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,32.483,0.007,1.0,6.0,8198.0,8192,6.0,vllm,0.25.1,h200_sxm,0.0,95.771
MiniMaxAI/MiniMax-M2.7,8192,1024,0,4,0.467,4,4,249.611,8.135,8571.797,0,0.0,0.467,0.058,477.379,59.672,122.924,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,32.074,0.004,1.0,3.0,8195.0,8192,3.0,vllm,0.25.1,h200_sxm,0.0,59.672
MiniMaxAI/MiniMax-M2.7,8192,1024,0,3,0.354,3,3,239.251,8.045,8469.366,0,0.0,0.354,0.044,362.365,45.296,124.3,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,31.937,0.003,1.0,2.0,8194.0,8192,2.0,vllm,0.25.1,h200_sxm,0.0,45.296
MiniMaxAI/MiniMax-M2.7,8192,1024,0,2,0.262,2,2,224.889,7.247,7638.261,0,0.0,0.262,0.033,267.862,33.483,137.994,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,31.801,0.002,1.0,1.0,8193.0,8192,1.0,vllm,0.25.1,h200_sxm,0.0,33.483
MiniMaxAI/MiniMax-M2.7,8192,1024,0,1,0.145,1,1,199.689,6.532,6881.771,0,0.0,0.145,0.018,148.654,18.582,153.096,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_block,fp8,bfloat16,fp8_block,half,31.665,0.001,1.0,1.0,8192.0,8192,1.0,vllm,0.25.1,h200_sxm,0.0,18.582
