b,kv,truth,before,after,ape_before,ape_after
16,4096,12.388674542307854,10.684903943911195,11.969991959631443,0.13752646359206624,0.033795591388456586
16,16384,12.425411492586136,9.554723976179957,12.1624069288373,0.2310335974079434,0.021166668315633918
16,65536,12.729648500680923,11.470695957541466,12.710480950772762,0.09889923850388445,0.0015057407050269981
16,262144,14.439702033996582,12.585300952196121,14.733950840309262,0.1284237775429501,0.020377761647706164
32,8192,15.607446432113647,12.708880007266998,14.988289913162589,0.18571689080941534,0.039670584271690415
32,32768,15.79141616821289,12.238369090482593,15.115705085918307,0.2249986346938506,0.04278977104376151
32,131072,16.779378056526184,13.364701066166162,16.286124009639025,0.20350438370580218,0.029396443969823587
32,524288,20.295672118663788,27.105608955025673,20.53537010215223,0.33553640384737515,0.01181030034812277
64,16384,19.346261397004128,14.93574702180922,18.612605053931475,0.22797760687126345,0.03792238345266354
64,65536,19.868172705173492,14.749253867194057,19.184691132977605,0.25764416858760825,0.034400827008007395
64,262144,21.81217260658741,17.164577031508088,21.391432965174317,0.21307348235799856,0.019289212908851945
128,32768,26.45101211965084,20.60265000909567,25.743229780346155,0.221101638156611,0.02675823277018817
128,131072,27.55480259656906,20.84100292995572,26.92903787828982,0.2436526134812266,0.0227098240347096
128,524288,31.57208114862442,28.97316007874906,31.199384946376085,0.08231706543642256,0.011804613085019042
