tp,b,kv,live,knn_now,d_now,bracket,pred,d_new
4,6,4092,9.654555469751358,9.568314098777108,0.90132253272571,"(5, 8)",9.61395331978565,0.42232522475584955
4,12,8184,11.949073523283005,11.097355813162206,7.67496081463481,"(9, 16)",11.176985996176622,6.907833000511006
4,12,733992,19.906334578990936,19.795502062362427,0.55988737380516,"(9, 16)",18.695811631378742,6.4748349602564055
4,20,16380,13.841664418578148,12.58363195975609,9.997371687644641,"(17, 24)",12.591290914055467,9.930463151533639
4,28,16380,15.12049324810505,14.155179815848031,6.81950667398981,"(25, 32)",14.33089054132454,5.509795113594725
4,36,16380,15.837492421269417,15.58916530765899,1.5929468237046902,"(33, 40)",15.720853280072333,0.7419389973248758
4,36,838836,31.186658889055252,25.792954605586985,20.91154102329921,"(33, 40)",26.3408357314745,18.39661887337352
4,44,16368,17.593031749129295,16.369542108887348,7.4741836521969,"(41, 48)",16.299993544505146,7.932752863328851
4,52,16380,16.865737736225128,16.536613636586722,1.99027507609072,"(49, 56)",16.566073588494742,1.80890267165362
4,60,16380,16.390638425946236,17.07166918369684,-3.98924528364794,"(57, 64)",16.91306350728285,-3.088884997751325
4,100,32700,22.22541905939579,21.982552002764233,1.10481738699408,"(97, 104)",22.10709349589836,0.535237992816117
4,100,1258200,38.04126754403114,37.99611932031541,0.1188232496459,"(97, 104)",38.09568352001439,-0.14284026681043316
4,150,32700,24.373335763812065,24.60160731294028,-0.92787250127412,"(145, 152)",24.61385291995352,-0.9771617508385936
4,300,65400,28.253529220819473,29.731564256934575,-4.97126563319104,"(289, 304)",29.65529839333006,-4.726875966373236
4,300,629100,34.40578281879425,35.60399423475019,-3.3653848162531697,"(289, 304)",35.64779309259336,-3.4841154698498458
4,600,65400,87.49361895024776,97.8451563768888,-10.57950930832799,"(513, 1024)",97.04683775403113,-9.843925907195821
4,768,65280,86.90227568149567,92.10891981196735,-5.652703496144159,"(513, 1024)",93.88434965324765,-7.436888041020224
8,6,4092,8.091238094493747,8.004105602945508,1.08859747572763,"(5, 8)",7.985663560248213,1.3220508658926318
8,12,8184,10.697838966734707,8.975907564988276,19.18392529422934,"(9, 16)",9.056651892024092,18.121344336486604
8,12,733992,13.153842417523265,12.928535748535465,1.7427083265274,"(9, 16)",12.844743121328454,2.4064264522468894
8,20,16380,11.54501095879823,9.849931990798051,17.20904235261467,"(17, 24)",9.82902813068774,17.458316379754027
8,28,16380,11.63103594444692,10.673043663786556,8.97581150080755,"(25, 32)",10.733652634631394,8.36046535473097
8,36,32760,12.044581002555788,11.639514537451982,3.48009759170316,"(33, 40)",11.898027702435295,1.231744485604923
8,36,1677708,27.180216507986188,21.170273632234963,28.38859327070847,"(33, 40)",20.595232802928567,31.973339500786125
8,44,32736,13.292180025018752,12.384194069692832,7.331813036974159,"(41, 48)",12.317957274457772,7.908963546911347
8,52,32760,13.461252092383802,12.82854420540128,4.93203185686595,"(49, 56)",12.927429941295745,4.129375703540269
8,60,32760,12.917652959004045,13.20696143598501,-2.1905756171339,"(57, 64)",13.08813118157559,-1.3025406011480969
8,100,32700,16.80706557817757,16.128757915573704,4.20557904182381,"(97, 104)",16.14398398377099,4.1072983909867276
8,100,2516500,32.94538054615259,33.08140812127131,-0.41119040223457004,"(97, 104)",33.05291573470979,-0.32534251870637465
8,150,65400,19.177205045707524,18.813206371048576,1.9348040279784502,"(145, 152)",18.83796372008614,1.8008386185586744
8,300,65400,22.715559462085366,22.436300291813,1.24467566684453,"(289, 304)",22.406055978778266,1.3813385256211286
8,300,1258200,28.198277461342514,29.75299047244484,-5.22540083001805,"(289, 304)",29.88417104387035,-5.641426627002376
8,600,130800,90.9898355603218,93.3971282764404,-2.5774804435029197,"(513, 1024)",93.3165907325984,-2.493399248740232
8,768,130560,93.52203854359686,92.8735892296282,0.69820636776015,"(513, 1024)",93.02149256815498,0.5380971231730569
